sentences,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95
Version,-1.724850058555603,0.29771724343299866,-0.6531751155853271,-0.23643255233764648,0.022995710372924805,0.31219950318336487,0.8277806639671326,0.10904904454946518,-0.7443075776100159,-1.0233854055404663,0.36641693115234375,-0.8366609811782837,-0.8427264094352722,1.1909047365188599,-0.3886374235153198,-0.14887303113937378,-1.0247468948364258,-1.7424575090408325,0.46646353602409363,-0.4966334402561188,-1.1567617654800415,0.11220690608024597,0.25500035285949707,-0.7379496097564697,0.8488819003105164,-0.008273974061012268,0.7727188467979431,1.8554463386535645,-0.16073888540267944,0.3641560673713684,-0.14783450961112976,-0.035832881927490234,0.5211013555526733,-0.20947805047035217,-0.9806376099586487,-1.2804434299468994,1.0545614957809448,0.11769214272499084,1.2272250652313232,0.9070830345153809,-0.10538673400878906,0.8996307849884033,-0.3845919966697693,1.0964624881744385,0.3595755696296692,-0.32276278734207153,-0.9091508388519287,0.5231420993804932,-0.06300568580627441,-0.3824867606163025,0.25661545991897583,0.24255774915218353,-0.3055981695652008,-0.6498234272003174,0.8754693865776062,-1.392303466796875,0.9338524341583252,-0.033742211759090424,0.155086487531662,0.6242473721504211,-0.5910462141036987,-0.850225567817688,0.2269686758518219,-0.6499577760696411,1.0657730102539062,0.755425214767456,-0.27031880617141724,-1.2186980247497559,0.1806112378835678,-0.4180775284767151,0.4168717861175537,0.6436158418655396,2.779588222503662,-0.3191545903682709,0.6364884972572327,0.3723651170730591,-0.33249789476394653,0.15558117628097534,-0.2913680672645569,-0.6005681157112122,-0.3655405640602112,-0.4227840006351471,-1.3312265872955322,-0.8666523694992065,-0.49454137682914734,1.4476933479309082,0.2954593002796173,0.21623095870018005,0.3288520574569702,-0.6392230987548828,-1.3318209648132324,-0.639009952545166,2.864811658859253,0.15679286420345306,0.7976124286651611,1.0413662195205688
December,-0.9075854420661926,-0.9250054955482483,-0.02689838409423828,0.11352139711380005,0.7807865738868713,0.020703569054603577,0.02083560824394226,1.2544296979904175,-0.6799439787864685,-0.5596717596054077,0.7532064318656921,0.16040316224098206,-1.3003289699554443,-0.4665655493736267,-0.5188857316970825,0.25836923718452454,-0.9287723302841187,-1.2525625228881836,1.4445302486419678,-0.5211267471313477,-1.6567342281341553,0.2589280307292938,-0.5089505314826965,-0.6100075244903564,-0.22388803958892822,-0.19762557744979858,0.9066997170448303,1.1590526103973389,-0.25222086906433105,0.6441312432289124,-0.21108505129814148,1.7131389379501343,0.9879900813102722,0.2955612540245056,-1.5469223260879517,-1.4949212074279785,0.4926069974899292,1.0815621614456177,0.35941433906555176,1.1662285327911377,-0.93384850025177,-0.09141838550567627,-0.6818135976791382,0.401105135679245,-0.037488192319869995,-0.811647355556488,-1.2030951976776123,0.7370434999465942,0.14258891344070435,-0.7225477695465088,0.7826358079910278,-0.0007139444351196289,1.3090347051620483,0.1178056001663208,-0.008267015218734741,-1.0706640481948853,0.6907650232315063,-0.6004908680915833,0.9289587736129761,1.0754034519195557,-1.741153597831726,-0.8614709973335266,1.0739662647247314,0.43632861971855164,1.7396594285964966,1.4582867622375488,-0.11209854483604431,-0.9140164852142334,-0.8433870673179626,-0.43042951822280884,1.466137409210205,-0.21037665009498596,1.71329665184021,0.10073547065258026,0.9156408905982971,-0.006432652473449707,0.16070815920829773,-0.2214326560497284,-0.8013951182365417,-0.0823080837726593,-0.8401657938957214,-0.3758293390274048,-0.5864465236663818,-1.524156928062439,-0.05989557504653931,0.6446099281311035,1.0571398735046387,0.10172330588102341,-0.40502414107322693,1.2956372499465942,-1.2508524656295776,-1.2631810903549194,2.1628658771514893,0.5338621139526367,0.9582319259643555,0.22685614228248596
Annexes,-2.0357601642608643,1.0252472162246704,-0.33988943696022034,1.6396372318267822,1.4413132667541504,-0.5908890962600708,1.4525086879730225,0.7245287895202637,-0.10383322834968567,-0.5583825707435608,1.2375035285949707,0.6173275709152222,-0.6682489514350891,-0.5996086001396179,-0.839311420917511,0.172258660197258,-0.009560778737068176,0.6315770745277405,0.19664281606674194,-0.734429657459259,-0.7323258519172668,-0.8531197905540466,-0.451252818107605,0.5084799528121948,-0.5172874927520752,-0.028374075889587402,1.0704609155654907,1.0557485818862915,0.22059667110443115,0.047220081090927124,-0.2610377073287964,-0.17353421449661255,0.07191495597362518,0.3961917757987976,-0.8284686207771301,-0.4484442472457886,0.4021092653274536,1.1366462707519531,0.610299289226532,1.618219256401062,-1.58181631565094,-0.16646012663841248,-0.750285267829895,-0.6978186368942261,-0.5924224257469177,-0.7998600006103516,-0.9098755121231079,2.173727035522461,0.8610975742340088,-0.9967434406280518,0.6285579204559326,-0.7940980195999146,-0.21470212936401367,-0.6629385948181152,-0.1127297580242157,-0.15622547268867493,0.16579332947731018,-0.6539678573608398,0.9376440644264221,0.9105517864227295,0.24247969686985016,-0.11995042860507965,0.07706091552972794,-0.3408966362476349,2.499579429626465,0.8723465204238892,0.151107519865036,-0.870225727558136,-0.0009890496730804443,-1.5826621055603027,0.33975720405578613,-0.12582477927207947,1.8811112642288208,-0.2262953370809555,-0.2633140981197357,-0.18423858284950256,0.5326161980628967,-0.7336876392364502,-1.35626220703125,-0.3796647787094116,-0.5536085963249207,0.004791557788848877,0.21027721464633942,-1.3426604270935059,-0.6315287351608276,1.445370078086853,-0.7786286473274231,0.6149904131889343,0.5983247756958008,-1.0056315660476685,-0.9175287485122681,-0.5625346899032593,3.656216621398926,-0.3065534830093384,0.014721810817718506,-0.08904677629470825
Version,-1.724850058555603,0.29771724343299866,-0.6531751155853271,-0.23643255233764648,0.022995710372924805,0.31219950318336487,0.8277806639671326,0.10904904454946518,-0.7443075776100159,-1.0233854055404663,0.36641693115234375,-0.8366609811782837,-0.8427264094352722,1.1909047365188599,-0.3886374235153198,-0.14887303113937378,-1.0247468948364258,-1.7424575090408325,0.46646353602409363,-0.4966334402561188,-1.1567617654800415,0.11220690608024597,0.25500035285949707,-0.7379496097564697,0.8488819003105164,-0.008273974061012268,0.7727188467979431,1.8554463386535645,-0.16073888540267944,0.3641560673713684,-0.14783450961112976,-0.035832881927490234,0.5211013555526733,-0.20947805047035217,-0.9806376099586487,-1.2804434299468994,1.0545614957809448,0.11769214272499084,1.2272250652313232,0.9070830345153809,-0.10538673400878906,0.8996307849884033,-0.3845919966697693,1.0964624881744385,0.3595755696296692,-0.32276278734207153,-0.9091508388519287,0.5231420993804932,-0.06300568580627441,-0.3824867606163025,0.25661545991897583,0.24255774915218353,-0.3055981695652008,-0.6498234272003174,0.8754693865776062,-1.392303466796875,0.9338524341583252,-0.033742211759090424,0.155086487531662,0.6242473721504211,-0.5910462141036987,-0.850225567817688,0.2269686758518219,-0.6499577760696411,1.0657730102539062,0.755425214767456,-0.27031880617141724,-1.2186980247497559,0.1806112378835678,-0.4180775284767151,0.4168717861175537,0.6436158418655396,2.779588222503662,-0.3191545903682709,0.6364884972572327,0.3723651170730591,-0.33249789476394653,0.15558117628097534,-0.2913680672645569,-0.6005681157112122,-0.3655405640602112,-0.4227840006351471,-1.3312265872955322,-0.8666523694992065,-0.49454137682914734,1.4476933479309082,0.2954593002796173,0.21623095870018005,0.3288520574569702,-0.6392230987548828,-1.3318209648132324,-0.639009952545166,2.864811658859253,0.15679286420345306,0.7976124286651611,1.0413662195205688
December,-0.9075854420661926,-0.9250054955482483,-0.02689838409423828,0.11352139711380005,0.7807865738868713,0.020703569054603577,0.02083560824394226,1.2544296979904175,-0.6799439787864685,-0.5596717596054077,0.7532064318656921,0.16040316224098206,-1.3003289699554443,-0.4665655493736267,-0.5188857316970825,0.25836923718452454,-0.9287723302841187,-1.2525625228881836,1.4445302486419678,-0.5211267471313477,-1.6567342281341553,0.2589280307292938,-0.5089505314826965,-0.6100075244903564,-0.22388803958892822,-0.19762557744979858,0.9066997170448303,1.1590526103973389,-0.25222086906433105,0.6441312432289124,-0.21108505129814148,1.7131389379501343,0.9879900813102722,0.2955612540245056,-1.5469223260879517,-1.4949212074279785,0.4926069974899292,1.0815621614456177,0.35941433906555176,1.1662285327911377,-0.93384850025177,-0.09141838550567627,-0.6818135976791382,0.401105135679245,-0.037488192319869995,-0.811647355556488,-1.2030951976776123,0.7370434999465942,0.14258891344070435,-0.7225477695465088,0.7826358079910278,-0.0007139444351196289,1.3090347051620483,0.1178056001663208,-0.008267015218734741,-1.0706640481948853,0.6907650232315063,-0.6004908680915833,0.9289587736129761,1.0754034519195557,-1.741153597831726,-0.8614709973335266,1.0739662647247314,0.43632861971855164,1.7396594285964966,1.4582867622375488,-0.11209854483604431,-0.9140164852142334,-0.8433870673179626,-0.43042951822280884,1.466137409210205,-0.21037665009498596,1.71329665184021,0.10073547065258026,0.9156408905982971,-0.006432652473449707,0.16070815920829773,-0.2214326560497284,-0.8013951182365417,-0.0823080837726593,-0.8401657938957214,-0.3758293390274048,-0.5864465236663818,-1.524156928062439,-0.05989557504653931,0.6446099281311035,1.0571398735046387,0.10172330588102341,-0.40502414107322693,1.2956372499465942,-1.2508524656295776,-1.2631810903549194,2.1628658771514893,0.5338621139526367,0.9582319259643555,0.22685614228248596
Annexes,-2.0357601642608643,1.0252472162246704,-0.33988943696022034,1.6396372318267822,1.4413132667541504,-0.5908890962600708,1.4525086879730225,0.7245287895202637,-0.10383322834968567,-0.5583825707435608,1.2375035285949707,0.6173275709152222,-0.6682489514350891,-0.5996086001396179,-0.839311420917511,0.172258660197258,-0.009560778737068176,0.6315770745277405,0.19664281606674194,-0.734429657459259,-0.7323258519172668,-0.8531197905540466,-0.451252818107605,0.5084799528121948,-0.5172874927520752,-0.028374075889587402,1.0704609155654907,1.0557485818862915,0.22059667110443115,0.047220081090927124,-0.2610377073287964,-0.17353421449661255,0.07191495597362518,0.3961917757987976,-0.8284686207771301,-0.4484442472457886,0.4021092653274536,1.1366462707519531,0.610299289226532,1.618219256401062,-1.58181631565094,-0.16646012663841248,-0.750285267829895,-0.6978186368942261,-0.5924224257469177,-0.7998600006103516,-0.9098755121231079,2.173727035522461,0.8610975742340088,-0.9967434406280518,0.6285579204559326,-0.7940980195999146,-0.21470212936401367,-0.6629385948181152,-0.1127297580242157,-0.15622547268867493,0.16579332947731018,-0.6539678573608398,0.9376440644264221,0.9105517864227295,0.24247969686985016,-0.11995042860507965,0.07706091552972794,-0.3408966362476349,2.499579429626465,0.8723465204238892,0.151107519865036,-0.870225727558136,-0.0009890496730804443,-1.5826621055603027,0.33975720405578613,-0.12582477927207947,1.8811112642288208,-0.2262953370809555,-0.2633140981197357,-0.18423858284950256,0.5326161980628967,-0.7336876392364502,-1.35626220703125,-0.3796647787094116,-0.5536085963249207,0.004791557788848877,0.21027721464633942,-1.3426604270935059,-0.6315287351608276,1.445370078086853,-0.7786286473274231,0.6149904131889343,0.5983247756958008,-1.0056315660476685,-0.9175287485122681,-0.5625346899032593,3.656216621398926,-0.3065534830093384,0.014721810817718506,-0.08904677629470825
Version,-1.724850058555603,0.29771724343299866,-0.6531751155853271,-0.23643255233764648,0.022995710372924805,0.31219950318336487,0.8277806639671326,0.10904904454946518,-0.7443075776100159,-1.0233854055404663,0.36641693115234375,-0.8366609811782837,-0.8427264094352722,1.1909047365188599,-0.3886374235153198,-0.14887303113937378,-1.0247468948364258,-1.7424575090408325,0.46646353602409363,-0.4966334402561188,-1.1567617654800415,0.11220690608024597,0.25500035285949707,-0.7379496097564697,0.8488819003105164,-0.008273974061012268,0.7727188467979431,1.8554463386535645,-0.16073888540267944,0.3641560673713684,-0.14783450961112976,-0.035832881927490234,0.5211013555526733,-0.20947805047035217,-0.9806376099586487,-1.2804434299468994,1.0545614957809448,0.11769214272499084,1.2272250652313232,0.9070830345153809,-0.10538673400878906,0.8996307849884033,-0.3845919966697693,1.0964624881744385,0.3595755696296692,-0.32276278734207153,-0.9091508388519287,0.5231420993804932,-0.06300568580627441,-0.3824867606163025,0.25661545991897583,0.24255774915218353,-0.3055981695652008,-0.6498234272003174,0.8754693865776062,-1.392303466796875,0.9338524341583252,-0.033742211759090424,0.155086487531662,0.6242473721504211,-0.5910462141036987,-0.850225567817688,0.2269686758518219,-0.6499577760696411,1.0657730102539062,0.755425214767456,-0.27031880617141724,-1.2186980247497559,0.1806112378835678,-0.4180775284767151,0.4168717861175537,0.6436158418655396,2.779588222503662,-0.3191545903682709,0.6364884972572327,0.3723651170730591,-0.33249789476394653,0.15558117628097534,-0.2913680672645569,-0.6005681157112122,-0.3655405640602112,-0.4227840006351471,-1.3312265872955322,-0.8666523694992065,-0.49454137682914734,1.4476933479309082,0.2954593002796173,0.21623095870018005,0.3288520574569702,-0.6392230987548828,-1.3318209648132324,-0.639009952545166,2.864811658859253,0.15679286420345306,0.7976124286651611,1.0413662195205688
December,-0.9075854420661926,-0.9250054955482483,-0.02689838409423828,0.11352139711380005,0.7807865738868713,0.020703569054603577,0.02083560824394226,1.2544296979904175,-0.6799439787864685,-0.5596717596054077,0.7532064318656921,0.16040316224098206,-1.3003289699554443,-0.4665655493736267,-0.5188857316970825,0.25836923718452454,-0.9287723302841187,-1.2525625228881836,1.4445302486419678,-0.5211267471313477,-1.6567342281341553,0.2589280307292938,-0.5089505314826965,-0.6100075244903564,-0.22388803958892822,-0.19762557744979858,0.9066997170448303,1.1590526103973389,-0.25222086906433105,0.6441312432289124,-0.21108505129814148,1.7131389379501343,0.9879900813102722,0.2955612540245056,-1.5469223260879517,-1.4949212074279785,0.4926069974899292,1.0815621614456177,0.35941433906555176,1.1662285327911377,-0.93384850025177,-0.09141838550567627,-0.6818135976791382,0.401105135679245,-0.037488192319869995,-0.811647355556488,-1.2030951976776123,0.7370434999465942,0.14258891344070435,-0.7225477695465088,0.7826358079910278,-0.0007139444351196289,1.3090347051620483,0.1178056001663208,-0.008267015218734741,-1.0706640481948853,0.6907650232315063,-0.6004908680915833,0.9289587736129761,1.0754034519195557,-1.741153597831726,-0.8614709973335266,1.0739662647247314,0.43632861971855164,1.7396594285964966,1.4582867622375488,-0.11209854483604431,-0.9140164852142334,-0.8433870673179626,-0.43042951822280884,1.466137409210205,-0.21037665009498596,1.71329665184021,0.10073547065258026,0.9156408905982971,-0.006432652473449707,0.16070815920829773,-0.2214326560497284,-0.8013951182365417,-0.0823080837726593,-0.8401657938957214,-0.3758293390274048,-0.5864465236663818,-1.524156928062439,-0.05989557504653931,0.6446099281311035,1.0571398735046387,0.10172330588102341,-0.40502414107322693,1.2956372499465942,-1.2508524656295776,-1.2631810903549194,2.1628658771514893,0.5338621139526367,0.9582319259643555,0.22685614228248596
Annexes,-2.0357601642608643,1.0252472162246704,-0.33988943696022034,1.6396372318267822,1.4413132667541504,-0.5908890962600708,1.4525086879730225,0.7245287895202637,-0.10383322834968567,-0.5583825707435608,1.2375035285949707,0.6173275709152222,-0.6682489514350891,-0.5996086001396179,-0.839311420917511,0.172258660197258,-0.009560778737068176,0.6315770745277405,0.19664281606674194,-0.734429657459259,-0.7323258519172668,-0.8531197905540466,-0.451252818107605,0.5084799528121948,-0.5172874927520752,-0.028374075889587402,1.0704609155654907,1.0557485818862915,0.22059667110443115,0.047220081090927124,-0.2610377073287964,-0.17353421449661255,0.07191495597362518,0.3961917757987976,-0.8284686207771301,-0.4484442472457886,0.4021092653274536,1.1366462707519531,0.610299289226532,1.618219256401062,-1.58181631565094,-0.16646012663841248,-0.750285267829895,-0.6978186368942261,-0.5924224257469177,-0.7998600006103516,-0.9098755121231079,2.173727035522461,0.8610975742340088,-0.9967434406280518,0.6285579204559326,-0.7940980195999146,-0.21470212936401367,-0.6629385948181152,-0.1127297580242157,-0.15622547268867493,0.16579332947731018,-0.6539678573608398,0.9376440644264221,0.9105517864227295,0.24247969686985016,-0.11995042860507965,0.07706091552972794,-0.3408966362476349,2.499579429626465,0.8723465204238892,0.151107519865036,-0.870225727558136,-0.0009890496730804443,-1.5826621055603027,0.33975720405578613,-0.12582477927207947,1.8811112642288208,-0.2262953370809555,-0.2633140981197357,-0.18423858284950256,0.5326161980628967,-0.7336876392364502,-1.35626220703125,-0.3796647787094116,-0.5536085963249207,0.004791557788848877,0.21027721464633942,-1.3426604270935059,-0.6315287351608276,1.445370078086853,-0.7786286473274231,0.6149904131889343,0.5983247756958008,-1.0056315660476685,-0.9175287485122681,-0.5625346899032593,3.656216621398926,-0.3065534830093384,0.014721810817718506,-0.08904677629470825
Version,-1.724850058555603,0.29771724343299866,-0.6531751155853271,-0.23643255233764648,0.022995710372924805,0.31219950318336487,0.8277806639671326,0.10904904454946518,-0.7443075776100159,-1.0233854055404663,0.36641693115234375,-0.8366609811782837,-0.8427264094352722,1.1909047365188599,-0.3886374235153198,-0.14887303113937378,-1.0247468948364258,-1.7424575090408325,0.46646353602409363,-0.4966334402561188,-1.1567617654800415,0.11220690608024597,0.25500035285949707,-0.7379496097564697,0.8488819003105164,-0.008273974061012268,0.7727188467979431,1.8554463386535645,-0.16073888540267944,0.3641560673713684,-0.14783450961112976,-0.035832881927490234,0.5211013555526733,-0.20947805047035217,-0.9806376099586487,-1.2804434299468994,1.0545614957809448,0.11769214272499084,1.2272250652313232,0.9070830345153809,-0.10538673400878906,0.8996307849884033,-0.3845919966697693,1.0964624881744385,0.3595755696296692,-0.32276278734207153,-0.9091508388519287,0.5231420993804932,-0.06300568580627441,-0.3824867606163025,0.25661545991897583,0.24255774915218353,-0.3055981695652008,-0.6498234272003174,0.8754693865776062,-1.392303466796875,0.9338524341583252,-0.033742211759090424,0.155086487531662,0.6242473721504211,-0.5910462141036987,-0.850225567817688,0.2269686758518219,-0.6499577760696411,1.0657730102539062,0.755425214767456,-0.27031880617141724,-1.2186980247497559,0.1806112378835678,-0.4180775284767151,0.4168717861175537,0.6436158418655396,2.779588222503662,-0.3191545903682709,0.6364884972572327,0.3723651170730591,-0.33249789476394653,0.15558117628097534,-0.2913680672645569,-0.6005681157112122,-0.3655405640602112,-0.4227840006351471,-1.3312265872955322,-0.8666523694992065,-0.49454137682914734,1.4476933479309082,0.2954593002796173,0.21623095870018005,0.3288520574569702,-0.6392230987548828,-1.3318209648132324,-0.639009952545166,2.864811658859253,0.15679286420345306,0.7976124286651611,1.0413662195205688
December,-0.9075854420661926,-0.9250054955482483,-0.02689838409423828,0.11352139711380005,0.7807865738868713,0.020703569054603577,0.02083560824394226,1.2544296979904175,-0.6799439787864685,-0.5596717596054077,0.7532064318656921,0.16040316224098206,-1.3003289699554443,-0.4665655493736267,-0.5188857316970825,0.25836923718452454,-0.9287723302841187,-1.2525625228881836,1.4445302486419678,-0.5211267471313477,-1.6567342281341553,0.2589280307292938,-0.5089505314826965,-0.6100075244903564,-0.22388803958892822,-0.19762557744979858,0.9066997170448303,1.1590526103973389,-0.25222086906433105,0.6441312432289124,-0.21108505129814148,1.7131389379501343,0.9879900813102722,0.2955612540245056,-1.5469223260879517,-1.4949212074279785,0.4926069974899292,1.0815621614456177,0.35941433906555176,1.1662285327911377,-0.93384850025177,-0.09141838550567627,-0.6818135976791382,0.401105135679245,-0.037488192319869995,-0.811647355556488,-1.2030951976776123,0.7370434999465942,0.14258891344070435,-0.7225477695465088,0.7826358079910278,-0.0007139444351196289,1.3090347051620483,0.1178056001663208,-0.008267015218734741,-1.0706640481948853,0.6907650232315063,-0.6004908680915833,0.9289587736129761,1.0754034519195557,-1.741153597831726,-0.8614709973335266,1.0739662647247314,0.43632861971855164,1.7396594285964966,1.4582867622375488,-0.11209854483604431,-0.9140164852142334,-0.8433870673179626,-0.43042951822280884,1.466137409210205,-0.21037665009498596,1.71329665184021,0.10073547065258026,0.9156408905982971,-0.006432652473449707,0.16070815920829773,-0.2214326560497284,-0.8013951182365417,-0.0823080837726593,-0.8401657938957214,-0.3758293390274048,-0.5864465236663818,-1.524156928062439,-0.05989557504653931,0.6446099281311035,1.0571398735046387,0.10172330588102341,-0.40502414107322693,1.2956372499465942,-1.2508524656295776,-1.2631810903549194,2.1628658771514893,0.5338621139526367,0.9582319259643555,0.22685614228248596
Annexes,-2.0357601642608643,1.0252472162246704,-0.33988943696022034,1.6396372318267822,1.4413132667541504,-0.5908890962600708,1.4525086879730225,0.7245287895202637,-0.10383322834968567,-0.5583825707435608,1.2375035285949707,0.6173275709152222,-0.6682489514350891,-0.5996086001396179,-0.839311420917511,0.172258660197258,-0.009560778737068176,0.6315770745277405,0.19664281606674194,-0.734429657459259,-0.7323258519172668,-0.8531197905540466,-0.451252818107605,0.5084799528121948,-0.5172874927520752,-0.028374075889587402,1.0704609155654907,1.0557485818862915,0.22059667110443115,0.047220081090927124,-0.2610377073287964,-0.17353421449661255,0.07191495597362518,0.3961917757987976,-0.8284686207771301,-0.4484442472457886,0.4021092653274536,1.1366462707519531,0.610299289226532,1.618219256401062,-1.58181631565094,-0.16646012663841248,-0.750285267829895,-0.6978186368942261,-0.5924224257469177,-0.7998600006103516,-0.9098755121231079,2.173727035522461,0.8610975742340088,-0.9967434406280518,0.6285579204559326,-0.7940980195999146,-0.21470212936401367,-0.6629385948181152,-0.1127297580242157,-0.15622547268867493,0.16579332947731018,-0.6539678573608398,0.9376440644264221,0.9105517864227295,0.24247969686985016,-0.11995042860507965,0.07706091552972794,-0.3408966362476349,2.499579429626465,0.8723465204238892,0.151107519865036,-0.870225727558136,-0.0009890496730804443,-1.5826621055603027,0.33975720405578613,-0.12582477927207947,1.8811112642288208,-0.2262953370809555,-0.2633140981197357,-0.18423858284950256,0.5326161980628967,-0.7336876392364502,-1.35626220703125,-0.3796647787094116,-0.5536085963249207,0.004791557788848877,0.21027721464633942,-1.3426604270935059,-0.6315287351608276,1.445370078086853,-0.7786286473274231,0.6149904131889343,0.5983247756958008,-1.0056315660476685,-0.9175287485122681,-0.5625346899032593,3.656216621398926,-0.3065534830093384,0.014721810817718506,-0.08904677629470825
Version,-1.724850058555603,0.29771724343299866,-0.6531751155853271,-0.23643255233764648,0.022995710372924805,0.31219950318336487,0.8277806639671326,0.10904904454946518,-0.7443075776100159,-1.0233854055404663,0.36641693115234375,-0.8366609811782837,-0.8427264094352722,1.1909047365188599,-0.3886374235153198,-0.14887303113937378,-1.0247468948364258,-1.7424575090408325,0.46646353602409363,-0.4966334402561188,-1.1567617654800415,0.11220690608024597,0.25500035285949707,-0.7379496097564697,0.8488819003105164,-0.008273974061012268,0.7727188467979431,1.8554463386535645,-0.16073888540267944,0.3641560673713684,-0.14783450961112976,-0.035832881927490234,0.5211013555526733,-0.20947805047035217,-0.9806376099586487,-1.2804434299468994,1.0545614957809448,0.11769214272499084,1.2272250652313232,0.9070830345153809,-0.10538673400878906,0.8996307849884033,-0.3845919966697693,1.0964624881744385,0.3595755696296692,-0.32276278734207153,-0.9091508388519287,0.5231420993804932,-0.06300568580627441,-0.3824867606163025,0.25661545991897583,0.24255774915218353,-0.3055981695652008,-0.6498234272003174,0.8754693865776062,-1.392303466796875,0.9338524341583252,-0.033742211759090424,0.155086487531662,0.6242473721504211,-0.5910462141036987,-0.850225567817688,0.2269686758518219,-0.6499577760696411,1.0657730102539062,0.755425214767456,-0.27031880617141724,-1.2186980247497559,0.1806112378835678,-0.4180775284767151,0.4168717861175537,0.6436158418655396,2.779588222503662,-0.3191545903682709,0.6364884972572327,0.3723651170730591,-0.33249789476394653,0.15558117628097534,-0.2913680672645569,-0.6005681157112122,-0.3655405640602112,-0.4227840006351471,-1.3312265872955322,-0.8666523694992065,-0.49454137682914734,1.4476933479309082,0.2954593002796173,0.21623095870018005,0.3288520574569702,-0.6392230987548828,-1.3318209648132324,-0.639009952545166,2.864811658859253,0.15679286420345306,0.7976124286651611,1.0413662195205688
December,-0.9075854420661926,-0.9250054955482483,-0.02689838409423828,0.11352139711380005,0.7807865738868713,0.020703569054603577,0.02083560824394226,1.2544296979904175,-0.6799439787864685,-0.5596717596054077,0.7532064318656921,0.16040316224098206,-1.3003289699554443,-0.4665655493736267,-0.5188857316970825,0.25836923718452454,-0.9287723302841187,-1.2525625228881836,1.4445302486419678,-0.5211267471313477,-1.6567342281341553,0.2589280307292938,-0.5089505314826965,-0.6100075244903564,-0.22388803958892822,-0.19762557744979858,0.9066997170448303,1.1590526103973389,-0.25222086906433105,0.6441312432289124,-0.21108505129814148,1.7131389379501343,0.9879900813102722,0.2955612540245056,-1.5469223260879517,-1.4949212074279785,0.4926069974899292,1.0815621614456177,0.35941433906555176,1.1662285327911377,-0.93384850025177,-0.09141838550567627,-0.6818135976791382,0.401105135679245,-0.037488192319869995,-0.811647355556488,-1.2030951976776123,0.7370434999465942,0.14258891344070435,-0.7225477695465088,0.7826358079910278,-0.0007139444351196289,1.3090347051620483,0.1178056001663208,-0.008267015218734741,-1.0706640481948853,0.6907650232315063,-0.6004908680915833,0.9289587736129761,1.0754034519195557,-1.741153597831726,-0.8614709973335266,1.0739662647247314,0.43632861971855164,1.7396594285964966,1.4582867622375488,-0.11209854483604431,-0.9140164852142334,-0.8433870673179626,-0.43042951822280884,1.466137409210205,-0.21037665009498596,1.71329665184021,0.10073547065258026,0.9156408905982971,-0.006432652473449707,0.16070815920829773,-0.2214326560497284,-0.8013951182365417,-0.0823080837726593,-0.8401657938957214,-0.3758293390274048,-0.5864465236663818,-1.524156928062439,-0.05989557504653931,0.6446099281311035,1.0571398735046387,0.10172330588102341,-0.40502414107322693,1.2956372499465942,-1.2508524656295776,-1.2631810903549194,2.1628658771514893,0.5338621139526367,0.9582319259643555,0.22685614228248596
